id,service_area_code,service_area_name,state,city,pincode,active_status,effective_from,effective_to,created_at,updated_at
33,ENDLLON,Loni (Shahdara),Delhi,Delhi,110032,YES,,,Wed May 20 2026 09:17:29 GMT+0530 (India Standard Time),Wed May 20 2026 09:17:29 GMT+0530 (India Standard Time)
34,ENDLBUR,Burari,Delhi,North West Delhi,110033,YES,,,Wed May 20 2026 09:17:29 GMT+0530 (India Standard Time),Wed May 20 2026 09:17:29 GMT+0530 (India Standard Time)
35,ENDLPRE,Preetampura,Delhi,Delhi,110034,YES,,,Wed May 20 2026 09:17:29 GMT+0530 (India Standard Time),Wed May 20 2026 09:17:29 GMT+0530 (India Standard Time)
36,ENDLPRE,Preetampura,Delhi,Delhi,110035,YES,,,Wed May 20 2026 09:17:29 GMT+0530 (India Standard Time),Wed May 20 2026 09:17:29 GMT+0530 (India Standard Time)
37,ENDLBUR,Burari,Delhi,DELHI,110036,YES,,,Wed May 20 2026 09:17:29 GMT+0530 (India Standard Time),Wed May 20 2026 09:17:29 GMT+0530 (India Standard Time)
38,ENDLMAH,Mahipalpur,Delhi,Delhi,110037,YES,,,Wed May 20 2026 09:17:29 GMT+0530 (India Standard Time),Wed May 20 2026 09:17:29 GMT+0530 (India Standard Time)
39,ENDLMAH,Mahipalpur,Delhi,South West Delhi,110038,YES,,,Wed May 20 2026 09:17:29 GMT+0530 (India Standard Time),Wed May 20 2026 09:17:29 GMT+0530 (India Standard Time)
40,ENDLBUR,Burari,Delhi,Delhi,110039,YES,,,Wed May 20 2026 09:17:29 GMT+0530 (India Standard Time),Wed May 20 2026 09:17:29 GMT+0530 (India Standard Time)
41,ENDLBUR,Burari,Delhi,North West Delhi,110040,YES,,,Wed May 20 2026 09:17:29 GMT+0530 (India Standard Time),Wed May 20 2026 09:17:29 GMT+0530 (India Standard Time)
42,ENDLPRE,Preetampura,Delhi,Delhi,110041,YES,,,Wed May 20 2026 09:17:29 GMT+0530 (India Standard Time),Wed May 20 2026 09:17:29 GMT+0530 (India Standard Time)
43,ENDLBUR,Burari,Delhi,North West Delhi,110042,YES,,,Wed May 20 2026 09:17:29 GMT+0530 (India Standard Time),Wed May 20 2026 09:17:29 GMT+0530 (India Standard Time)
44,ENDLUTT,Uttam Nagar,Delhi,Delhi,110043,YES,,,Wed May 20 2026 09:17:29 GMT+0530 (India Standard Time),Wed May 20 2026 09:17:29 GMT+0530 (India Standard Time)
45,ENDLKAL,kalkaji,Delhi,Delhi,110044,YES,,,Wed May 20 2026 09:17:29 GMT+0530 (India Standard Time),Wed May 20 2026 09:17:29 GMT+0530 (India Standard Time)
46,ENDLUTT,Uttam Nagar,Delhi,Delhi,110045,YES,,,Wed May 20 2026 09:17:29 GMT+0530 (India Standard Time),Wed May 20 2026 09:17:29 GMT+0530 (India Standard Time)
47,ENDLUTT,Uttam Nagar,Delhi,Delhi,110046,YES,,,Wed May 20 2026 09:17:29 GMT+0530 (India Standard Time),Wed May 20 2026 09:17:29 GMT+0530 (India Standard Time)
48,ENDLMAH,Mahipalpur,Delhi,Delhi,110047,YES,,,Wed May 20 2026 09:17:29 GMT+0530 (India Standard Time),Wed May 20 2026 09:17:29 GMT+0530 (India Standard Time)
49,ENDLKAL,kalkaji,Delhi,Delhi,110048,YES,,,Wed May 20 2026 09:17:29 GMT+0530 (India Standard Time),Wed May 20 2026 09:17:29 GMT+0530 (India Standard Time)
50,ENDLKAL,kalkaji,Delhi,Delhi,110049,YES,,,Wed May 20 2026 09:17:29 GMT+0530 (India Standard Time),Wed May 20 2026 09:17:29 GMT+0530 (India Standard Time)
51,ENDLLON,Loni (Shahdara),Delhi,Delhi,110051,YES,,,Wed May 20 2026 09:17:29 GMT+0530 (India Standard Time),Wed May 20 2026 09:17:29 GMT+0530 (India Standard Time)
52,ENDLBUR,Burari,Delhi,North West Delhi,110052,YES,,,Wed May 20 2026 09:17:29 GMT+0530 (India Standard Time),Wed May 20 2026 09:17:29 GMT+0530 (India Standard Time)
53,ENDLLON,Loni (Shahdara),Delhi,Delhi,110053,YES,,,Wed May 20 2026 09:17:29 GMT+0530 (India Standard Time),Wed May 20 2026 09:17:29 GMT+0530 (India Standard Time)
54,ENDLLON,Loni (Shahdara),Delhi,Delhi,110054,YES,,,Wed May 20 2026 09:17:29 GMT+0530 (India Standard Time),Wed May 20 2026 09:17:29 GMT+0530 (India Standard Time)
55,ENDLPAH,Paharganj,Delhi,Delhi,110055,YES,,,Wed May 20 2026 09:17:29 GMT+0530 (India Standard Time),Wed May 20 2026 09:17:29 GMT+0530 (India Standard Time)
56,ENDLPRE,Preetampura,Delhi,Delhi,110056,YES,,,Wed May 20 2026 09:17:29 GMT+0530 (India Standard Time),Wed May 20 2026 09:17:29 GMT+0530 (India Standard Time)
57,ENDLMAH,Mahipalpur,Delhi,South West Delhi,110057,YES,,,Wed May 20 2026 09:17:29 GMT+0530 (India Standard Time),Wed May 20 2026 09:17:29 GMT+0530 (India Standard Time)
58,ENDLUTT,Uttam Nagar,Delhi,Delhi,110058,YES,,,Wed May 20 2026 09:17:29 GMT+0530 (India Standard Time),Wed May 20 2026 09:17:29 GMT+0530 (India Standard Time)
59,ENDLUTT,Uttam Nagar,Delhi,Delhi,110059,YES,,,Wed May 20 2026 09:17:29 GMT+0530 (India Standard Time),Wed May 20 2026 09:17:29 GMT+0530 (India Standard Time)
60,ENDLPAH,Paharganj,Delhi,Delhi,110060,YES,,,Wed May 20 2026 09:17:29 GMT+0530 (India Standard Time),Wed May 20 2026 09:17:29 GMT+0530 (India Standard Time)
61,ENDLUTT,Uttam Nagar,Delhi,Delhi,110061,YES,,,Wed May 20 2026 09:17:29 GMT+0530 (India Standard Time),Wed May 20 2026 09:17:29 GMT+0530 (India Standard Time)
